ID,en name,zh-hans name,aliases,instance of,subclass of
Q349,sport,体育,"sports
",,Q1914636
P350,RKDimages,RKD图片,,Q19833377,
P351,Entrez Gene ID,Entrez基因编码,,Q19847637,
P355,subsidiary,子公司,"subsidiary company
subsidiary entities
parent company of
",Q22964476,
P356,DOI,DOI,"Digital Object Identifier
",Q19847637,
P357,"(OBSOLETE) title (use P1476, ""title"")",（停用）标题字符串（请改用P1476）,,"Q18644427
Q21099935",
Q359,WikiLeaks,维基解密,"维基揭密
维基泄密
","Q484652
Q15633582",
Q362,World War II,第二次世界大战,"Second World War
WWII
WW2
World War 2
World War Two
二战
二次世界大战",Q103495,
P364,original language of work,原语言,"original language
language of the original work
created on language
原始语言
","Q18616084
Q18618644",
Q367,Wikibooks,维基教科书,,"Q14827288
Q15633582",
Q368,Augusto Pinochet,,"Augusto José Ramón
",Q5,
P368,Sandbox-CommonsMediaFile,沙盒-共享资源媒体文件,,Q18720640,
Q369,Wikiquote,维基语录,,"Q15633582
Q14827288","Q15633582
Q14827288"
Q371,!!!,!!!,,Q215380,
P371,presenter,主持人,"host
hostess
TV presenter
TV host
",Q18618644,
P375,space launch vehicle,,"carrier rocket
launch vehicle
",Q22984363,
Q377,Yanka Kupala,杨卡·库巴拉,"Ivan Daminikavich Lutsevich
Janka Kupala
",Q5,
P382,CBS municipality code,CBS行政区编码,"municipality code (Netherlands)
",Q19829908,
Q391,Saint Catherine Street,圣凯瑟琳街,"rue Sainte-Catherine
",Q1006835,
Q394,metrology,度量衡學,,Q11862829,
Q398,Bahrain,巴林,"bh
","Q6256
Q3624078
Q112099
Q160016",
Q403,Serbia,塞尔维亚,"Republic of Serbia
Republika Srbija
rs
Srbija
","Q3624078
Q7270
Q123480
Q160016
Q6256",
P407,language of work or name,语言,"language of the name
language of name
named in language
broadcasting language
audio language
available in
","Q18616084
Q18618644",
P409,NLA (Australia) ID,NLA编号,"AuCNLKIN
AuCNLKIN ID
AuCNLKIN identifier
Libraries Australia identifier
Australian National Bibliographic Database identifier
NLA Kinetica Service identifier
CNLKIN
CNLKIN identifier
CNL Kinetica Service identifier
NLA (Australia) identifier
",Q19595382,
Q411,astrobiology,,,Q11862829,Q420
Q412,Pioneer plaque,,,"Q193395
Q1368086",
Q414,Argentina,阿根廷,"Argentine Republic
AR
ar
","Q3624078
Q6256
Q160016",
P414,stock exchange,证券交易所,,Q22964476,
Q419,Peru,秘鲁,"Republic of Peru
República del Perú
","Q7270
Q3624078
Q6256
Q160016",
P421,located in time zone,时区,"timezone
tz
time zone
","Q19829914
Q26935994",
Q424,Cambodia,柬埔寨,"Kingdom of Cambodia
kh
","Q3624078
Q6256
Q160016",
P428,botanist author abbreviation,,"abbreviation of botanist
author abbreviation of botanist
botanist name
botanical author abbreviation
botanic author abbreviation
botany author
",Q18608871,
Q429,Pcim,,,Q532,
Q431,zoology,动物学,"zoölogy
",Q2465832,
Q433,Gmina Kurów,,,Q3504085,
P434,MusicBrainz artist ID,MusicBrainz音乐家ID,"artist MBID
BBC Music artist ID
MBID artist
artist ID
","Q19595382
Q21745557
Q22965078
Q24075706",
Q436,Szczebrzeszyn,什切布熱申,,Q515,
P436,MusicBrainz release group ID,,"release group MBID
album MBID
single MBID
EP MBID
MusicBrainz album
album ID
release group ID
single ID
EP ID
MBID release group
","Q22965078
Q24075706",
Q443,Ich bin ein Berliner,Ich bin ein Berliner,,"Q3377406
Q861911",
P443,pronunciation audio,发音,,Q18610173,
Q447,Encyclopédie,,"Encyclopédie, ou dictionnaire raisonné des sciences, des arts et des métiers
Diderot's encyclopedia
D'Alembert's encyclopedia
",Q571,
P449,original network,首播电视台,"original channel
channel
TV channel
radio network
network
television channel
radio station
original air channel
broadcast on
",Q18618644,
Q454,peace,和平,,,Q3505845
P458,IMO ship number,IMO船只代码,,"Q18614948
Q23779665",
P461,opposite of,相对概念,"antonym
inverse
antonym of
",Q18647518,
Q463,Rhône-Alpes,罗纳-阿尔卑斯,"Rhone-Alpes
",Q22670030,
